codes,description
426611e10,Interferon alfa-2a 18million units/0.6ml solution for injection cartridges
426481e10,Interferon alfa-2a 18million units/0.6ml solution for injection cartridges
426491e10,Roferon-A 18million units/0.6ml solution for injection cartridges (Roche Products Ltd)
426501e10,Roferon-A 18million units/0.6ml solution for injection cartridges (Roche Products Ltd)
426621e10,Interferon alfa-2b 3million unit powder and solvent for solution for injection vials
426561e10,Interferon alfa-2b 3million unit powder and solvent for solution for injection vials
426581e10,IntronA 3million unit powder and solvent for solution for injection vials (Schering-Plough Ltd)
426591e10,IntronA 3million unit powder and solvent for solution for injection vials (Schering-Plough Ltd)
374872005,Bexarotene 75mg capsules
432921e10,Bexarotene 75mg capsules
432931e10,Targretin 75mg capsules (Eisai Ltd)
432941e10,Targretin 75mg capsules (Eisai Ltd)
407797002,Imatinib 100mg capsules
433191e10,Imatinib 100mg capsules
340241e11,Imatinib 100mg capsules
433201e10,Glivec 100mg capsules (Novartis Pharmaceuticals UK Ltd)
433971e10,Glivec 100mg capsules (Novartis Pharmaceuticals UK Ltd)
34024e12,Imatinib 100mg capsules (Dr Reddy's Laboratories (UK) Ltd)
340242e11,Imatinib 100mg capsules (Dr Reddy's Laboratories (UK) Ltd)
341878e11,Imatinib 100mg capsules (A A H Pharmaceuticals Ltd)
341879e11,Imatinib 100mg capsules (A A H Pharmaceuticals Ltd)
345764e11,Nibix 100mg capsules (Rivopharm (UK) Ltd)
345765e11,Nibix 100mg capsules (Rivopharm (UK) Ltd)
360268e11,Peginterferon alfa-2a 135micrograms/0.5ml solution for injection pre-filled syringes
433791e10,Peginterferon alfa-2a 135micrograms/0.5ml solution for injection pre-filled syringes
433801e10,Pegasys 135micrograms/0.5ml solution for injection pre-filled syringes (Roche Products Ltd)
433811e10,Pegasys 135micrograms/0.5ml solution for injection pre-filled syringes (Roche Products Ltd)
360269e11,Peginterferon alfa-2a 180micrograms/0.5ml solution for injection pre-filled syringes
433821e10,Peginterferon alfa-2a 180micrograms/0.5ml solution for injection pre-filled syringes
433831e10,Pegasys 180micrograms/0.5ml solution for injection pre-filled syringes (Roche Products Ltd)
433841e10,Pegasys 180micrograms/0.5ml solution for injection pre-filled syringes (Roche Products Ltd)
434921e10,Darbepoetin alfa 80micrograms/0.4ml solution for injection pre-filled syringes
434421e10,Darbepoetin alfa 80micrograms/0.4ml solution for injection pre-filled syringes
434431e10,Aranesp 80micrograms/0.4ml solution for injection pre-filled syringes (Amgen Ltd)
434441e10,Aranesp 80micrograms/0.4ml solution for injection pre-filled syringes (Amgen Ltd)
434931e10,Darbepoetin alfa 100micrograms/0.5ml solution for injection pre-filled syringes
434451e10,Darbepoetin alfa 100micrograms/0.5ml solution for injection pre-filled syringes
434461e10,Aranesp 100micrograms/0.5ml solution for injection pre-filled syringes (Amgen Ltd)
434471e10,Aranesp 100micrograms/0.5ml solution for injection pre-filled syringes (Amgen Ltd)
434941e10,Darbepoetin alfa 150micrograms/0.3ml solution for injection pre-filled syringes
434481e10,Darbepoetin alfa 150micrograms/0.3ml solution for injection pre-filled syringes
434491e10,Aranesp 150micrograms/0.3ml solution for injection pre-filled syringes (Amgen Ltd)
434501e10,Aranesp 150micrograms/0.3ml solution for injection pre-filled syringes (Amgen Ltd)
437781e10,Interferon gamma-1b (recombinant human) 100micrograms/0.5ml solution for injection vials
437251e10,Interferon gamma-1b (recombinant human) 100micrograms/0.5ml solution for injection vials
437261e10,Immukin 100micrograms/0.5ml solution for injection vials (Clinigen Healthcare Ltd)
437271e10,Immukin 100micrograms/0.5ml solution for injection vials (Clinigen Healthcare Ltd)
359146e11,Tacrolimus 5mg/1ml solution for infusion ampoules
439121e10,Tacrolimus 5mg/1ml solution for infusion ampoules
439131e10,Prograf 5mg/1ml solution for infusion ampoules (Astellas Pharma Ltd)
439141e10,Prograf 5mg/1ml solution for infusion ampoules (Astellas Pharma Ltd)
400687000,Infliximab 100mg powder for solution for infusion vials
439771e10,Infliximab 100mg powder for solution for infusion vials
439801e10,Remicade 100mg powder for concentrate for solution for infusion vials (Merck Sharp & Dohme (UK) Ltd)
439811e10,Remicade 100mg powder for concentrate for solution for infusion vials (Merck Sharp & Dohme (UK) Ltd)
288037e11,Remsima 100mg powder for concentrate for solution for infusion vials (Celltrion Healthcare UK Ltd)
288038e11,Remsima 100mg powder for concentrate for solution for infusion vials (Celltrion Healthcare UK Ltd)
289432e11,Inflectra 100mg powder for concentrate for solution for infusion vials (Pfizer Ltd)
289433e11,Inflectra 100mg powder for concentrate for solution for infusion vials (Pfizer Ltd)
330874e11,Flixabi 100mg powder for concentrate for solution for infusion vials (Biogen Idec Ltd)
330879e11,Flixabi 100mg powder for concentrate for solution for infusion vials (Biogen Idec Ltd)
36584e12,Zessly 100mg powder for concentrate for solution for infusion vials (Sandoz Ltd)
365841e11,Zessly 100mg powder for concentrate for solution for infusion vials (Sandoz Ltd)
442791e10,Interferon alfa-2a 4.5million units/0.5ml solution for injection pre-filled syringes
440021e10,Interferon alfa-2a 4.5million units/0.5ml solution for injection pre-filled syringes
440031e10,Roferon-A 4.5million units/0.5ml solution for injection pre-filled syringes (Roche Products Ltd)
440051e10,Roferon-A 4.5million units/0.5ml solution for injection pre-filled syringes (Roche Products Ltd)
327217007,Interferon beta-1a 12million units/0.5ml solution for injection pre-filled syringes
440301e10,Interferon beta-1a 12million units/0.5ml solution for injection pre-filled syringes
440341e10,Rebif 44micrograms/0.5ml (12million units) solution for injection pre-filled syringes (Merck Serono Ltd)
440361e10,Rebif 44micrograms/0.5ml (12million units) solution for injection pre-filled syringes (Merck Serono Ltd)
327214000,Interferon beta-1a 6million units/0.5ml solution for injection pre-filled syringes
440451e10,Interferon beta-1a 6million units/0.5ml solution for injection pre-filled syringes
440471e10,Interferon beta-1a 6million units/0.5ml solution for injection pre-filled syringes
518421e10,Interferon beta-1a 6million units/0.5ml solution for injection pre-filled syringes
113915e11,Interferon beta-1a 6million units/0.5ml solution for injection pre-filled syringes
440511e10,Rebif 22micrograms/0.5ml (6million units) solution for injection pre-filled syringes (Merck Serono Ltd)
440531e10,Rebif 22micrograms/0.5ml (6million units) solution for injection pre-filled syringes (Merck Serono Ltd)
440681e10,Rebif 22micrograms/0.5ml (6million units) solution for injection pre-filled syringes (Merck Serono Ltd)
113916e11,Rebif 22micrograms/0.5ml (6million units) solution for injection pre-filled syringes (Merck Serono Ltd)
518391e10,Avonex 30micrograms/0.5ml (6million units) solution for injection pre-filled syringes (Biogen Idec Ltd)
140717e11,Avonex 30micrograms/0.5ml (6million units) solution for injection pre-filled syringes (Biogen Idec Ltd)
518441e10,Avonex 30micrograms/0.5ml (6million units) solution for injection pre-filled syringes (Biogen Idec Ltd)
327043004,Temozolomide 20mg capsules
442011e10,Temozolomide 20mg capsules
442021e10,Temodal 20mg capsules (Merck Sharp & Dohme (UK) Ltd)
442031e10,Temodal 20mg capsules (Merck Sharp & Dohme (UK) Ltd)
164556e11,Temodal 20mg capsules (Merck Sharp & Dohme (UK) Ltd)
170647e11,Temozolomide 20mg capsules (Hospira UK Ltd)
170649e11,Temozolomide 20mg capsules (Hospira UK Ltd)
171694e11,Temozolomide 20mg capsules (Teva UK Ltd)
171695e11,Temozolomide 20mg capsules (Teva UK Ltd)
172917e11,Temozolomide 20mg capsules (A A H Pharmaceuticals Ltd)
172918e11,Temozolomide 20mg capsules (A A H Pharmaceuticals Ltd)
176528e11,Temomedac 20mg capsules (medac UK)
176529e11,Temomedac 20mg capsules (medac UK)
198284e11,Temozolomide 20mg capsules (Mylan)
198285e11,Temozolomide 20mg capsules (Mylan)
217858e11,Temozolomide 20mg capsules (Waymade Healthcare Plc)
217859e11,Temozolomide 20mg capsules (Waymade Healthcare Plc)
23951e12,Temozolomide 20mg capsules (Sun Pharmaceutical Industries Europe B.V.)
239511e11,Temozolomide 20mg capsules (Sun Pharmaceutical Industries Europe B.V.)
255535e11,Temozolomide 20mg capsules (Zentiva)
255536e11,Temozolomide 20mg capsules (Zentiva)
287961e11,Temozolomide 20mg capsules (Actavis UK Ltd)
287962e11,Temozolomide 20mg capsules (Actavis UK Ltd)
307891e11,Temozolomide 20mg capsules (Accord Healthcare Ltd)
307892e11,Temozolomide 20mg capsules (Accord Healthcare Ltd)
327044005,Temozolomide 100mg capsules
442041e10,Temozolomide 100mg capsules
442051e10,Temodal 100mg capsules (Merck Sharp & Dohme (UK) Ltd)
442061e10,Temodal 100mg capsules (Merck Sharp & Dohme (UK) Ltd)
164557e11,Temodal 100mg capsules (Merck Sharp & Dohme (UK) Ltd)
170639e11,Temozolomide 100mg capsules (Hospira UK Ltd)
170641e11,Temozolomide 100mg capsules (Hospira UK Ltd)
171696e11,Temozolomide 100mg capsules (Teva UK Ltd)
171697e11,Temozolomide 100mg capsules (Teva UK Ltd)
172919e11,Temozolomide 100mg capsules (A A H Pharmaceuticals Ltd)
17292e12,Temozolomide 100mg capsules (A A H Pharmaceuticals Ltd)
17653e12,Temomedac 100mg capsules (medac UK)
176531e11,Temomedac 100mg capsules (medac UK)
198282e11,Temozolomide 100mg capsules (Mylan)
198283e11,Temozolomide 100mg capsules (Mylan)
21786e12,Temozolomide 100mg capsules (Waymade Healthcare Plc)
217861e11,Temozolomide 100mg capsules (Waymade Healthcare Plc)
239504e11,Temozolomide 100mg capsules (Sun Pharmaceutical Industries Europe B.V.)
239505e11,Temozolomide 100mg capsules (Sun Pharmaceutical Industries Europe B.V.)
255538e11,Temozolomide 100mg capsules (Zentiva)
25554e12,Temozolomide 100mg capsules (Zentiva)
287963e11,Temozolomide 100mg capsules (Actavis UK Ltd)
287964e11,Temozolomide 100mg capsules (Actavis UK Ltd)
307899e11,Temozolomide 100mg capsules (Accord Healthcare Ltd)
3079e13,Temozolomide 100mg capsules (Accord Healthcare Ltd)
327045006,Temozolomide 250mg capsules
442071e10,Temozolomide 250mg capsules
442081e10,Temodal 250mg capsules (Merck Sharp & Dohme (UK) Ltd)
442091e10,Temodal 250mg capsules (Merck Sharp & Dohme (UK) Ltd)
164562e11,Temodal 250mg capsules (Merck Sharp & Dohme (UK) Ltd)
170635e11,Temozolomide 250mg capsules (Hospira UK Ltd)
170636e11,Temozolomide 250mg capsules (Hospira UK Ltd)
171702e11,Temozolomide 250mg capsules (Teva UK Ltd)
171704e11,Temozolomide 250mg capsules (Teva UK Ltd)
172925e11,Temozolomide 250mg capsules (A A H Pharmaceuticals Ltd)
172927e11,Temozolomide 250mg capsules (A A H Pharmaceuticals Ltd)
176536e11,Temomedac 250mg capsules (medac UK)
176537e11,Temomedac 250mg capsules (medac UK)
239512e11,Temozolomide 250mg capsules (Sun Pharmaceutical Industries Europe B.V.)
239513e11,Temozolomide 250mg capsules (Sun Pharmaceutical Industries Europe B.V.)
255555e11,Temozolomide 250mg capsules (Zentiva)
255557e11,Temozolomide 250mg capsules (Zentiva)
287969e11,Temozolomide 250mg capsules (Actavis UK Ltd)
28797e12,Temozolomide 250mg capsules (Actavis UK Ltd)
307906e11,Temozolomide 250mg capsules (Accord Healthcare Ltd)
307907e11,Temozolomide 250mg capsules (Accord Healthcare Ltd)
327390008,Tretinoin 10mg capsules
442961e10,Tretinoin 10mg capsules
442971e10,Vesanoid 10mg capsules (Intrapharm Laboratories Ltd)
442981e10,Vesanoid 10mg capsules (Intrapharm Laboratories Ltd)
296989e11,Tretinoin 10mg capsules (Intrapharm Laboratories Ltd)
29699e12,Tretinoin 10mg capsules (Intrapharm Laboratories Ltd)
319047e11,Tretinoin 10mg capsules (Alliance Healthcare (Distribution) Ltd)
31905e12,Tretinoin 10mg capsules (Alliance Healthcare (Distribution) Ltd)
341981e11,Tretinoin 10mg capsules (Neon Healthcare Ltd)
341982e11,Tretinoin 10mg capsules (Neon Healthcare Ltd)
362416e11,Tretinoin 10mg capsules (A A H Pharmaceuticals Ltd)
362417e11,Tretinoin 10mg capsules (A A H Pharmaceuticals Ltd)
360271e11,Peginterferon alfa-2b 120microgram powder and solvent for solution for injection vials
443811e10,Peginterferon alfa-2b 120microgram powder and solvent for solution for injection vials
443821e10,ViraferonPeg 120microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
443831e10,ViraferonPeg 120microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
443841e10,PegIntron 120microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
443851e10,PegIntron 120microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
360273e11,Peginterferon alfa-2b 50microgram powder and solvent for solution for injection vials
443861e10,Peginterferon alfa-2b 50microgram powder and solvent for solution for injection vials
443871e10,PegIntron 50microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
443881e10,PegIntron 50microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
443891e10,ViraferonPeg 50microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
443901e10,ViraferonPeg 50microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
360274e11,Peginterferon alfa-2b 80microgram powder and solvent for solution for injection vials
443911e10,Peginterferon alfa-2b 80microgram powder and solvent for solution for injection vials
443921e10,PegIntron 80microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
443931e10,PegIntron 80microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
443941e10,ViraferonPeg 80microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
443951e10,ViraferonPeg 80microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
36027e12,Peginterferon alfa-2b 100microgram powder and solvent for solution for injection vials
443961e10,Peginterferon alfa-2b 100microgram powder and solvent for solution for injection vials
443971e10,PegIntron 100microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
443981e10,PegIntron 100microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
443991e10,ViraferonPeg 100microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
444001e10,ViraferonPeg 100microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
360272e11,Peginterferon alfa-2b 150microgram powder and solvent for solution for injection vials
444011e10,Peginterferon alfa-2b 150microgram powder and solvent for solution for injection vials
444021e10,PegIntron 150microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
444031e10,PegIntron 150microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
444041e10,ViraferonPeg 150microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
444051e10,ViraferonPeg 150microgram powder and solvent for solution for injection vials (Schering-Plough Ltd)
445291e10,Interferon alfa-2b 18million units/3ml solution for injection vials
444061e10,Interferon alfa-2b 18million units/3ml solution for injection vials
444071e10,Viraferon 18million units/3ml solution for injection multidose vials (Schering-Plough Ltd)
444081e10,Viraferon 18million units/3ml solution for injection multidose vials (Schering-Plough Ltd)
448871e10,Cisplatin 10mg/10ml solution for infusion vials
447541e10,Cisplatin 10mg/10ml solution for infusion vials
447551e10,Cisplatin 10mg/10ml solution for infusion vials (A A H Pharmaceuticals Ltd)
447561e10,Cisplatin 10mg/10ml solution for infusion vials (A A H Pharmaceuticals Ltd)
447581e10,Cisplatin 10mg/10ml concentrate for solution for infusion vials (Hospira UK Ltd)
447591e10,Cisplatin 10mg/10ml concentrate for solution for infusion vials (Hospira UK Ltd)
447601e10,Cisplatin 10mg/10ml solution for infusion vials (Alliance Healthcare (Distribution) Ltd)
447611e10,Cisplatin 10mg/10ml solution for infusion vials (Alliance Healthcare (Distribution) Ltd)
105285e11,Cisplatin 10mg/10ml solution for infusion vials (Teva UK Ltd)
105286e11,Cisplatin 10mg/10ml solution for infusion vials (Teva UK Ltd)
202089e11,Cisplatin 10mg/10ml concentrate for solution for infusion vials (Accord Healthcare Ltd)
202091e11,Cisplatin 10mg/10ml concentrate for solution for infusion vials (Accord Healthcare Ltd)
341775e11,Cisplatin 10mg/10ml concentrate for solution for infusion vials (Sandoz Ltd)
341776e11,Cisplatin 10mg/10ml concentrate for solution for infusion vials (Sandoz Ltd)
448881e10,Cisplatin 50mg/50ml solution for infusion vials
447641e10,Cisplatin 50mg/50ml solution for infusion vials
447661e10,Cisplatin 50mg/50ml solution for infusion vials (A A H Pharmaceuticals Ltd)
447671e10,Cisplatin 50mg/50ml solution for infusion vials (A A H Pharmaceuticals Ltd)
447691e10,Cisplatin 50mg/50ml concentrate for solution for infusion vials (Pfizer Ltd)
447711e10,Cisplatin 50mg/50ml concentrate for solution for infusion vials (Pfizer Ltd)
447731e10,Cisplatin 50mg/50ml solution for infusion vials (Alliance Healthcare (Distribution) Ltd)
447741e10,Cisplatin 50mg/50ml solution for infusion vials (Alliance Healthcare (Distribution) Ltd)
105288e11,Cisplatin 50mg/50ml solution for infusion vials (Teva UK Ltd)
105291e11,Cisplatin 50mg/50ml solution for infusion vials (Teva UK Ltd)
131428e11,Cisplatin 50mg/50ml concentrate for solution for infusion vials (Wockhardt UK Ltd)
131429e11,Cisplatin 50mg/50ml concentrate for solution for infusion vials (Wockhardt UK Ltd)
202084e11,Cisplatin 50mg/50ml concentrate for solution for infusion vials (Accord Healthcare Ltd)
202087e11,Cisplatin 50mg/50ml concentrate for solution for infusion vials (Accord Healthcare Ltd)
341773e11,Cisplatin 50mg/50ml concentrate for solution for infusion vials (Sandoz Ltd)
341774e11,Cisplatin 50mg/50ml concentrate for solution for infusion vials (Sandoz Ltd)
448861e10,Cisplatin 100mg/100ml solution for infusion vials
447771e10,Cisplatin 100mg/100ml solution for infusion vials
447781e10,Cisplatin 100mg/100ml solution for infusion vials (A A H Pharmaceuticals Ltd)
447791e10,Cisplatin 100mg/100ml solution for infusion vials (A A H Pharmaceuticals Ltd)
447801e10,Cisplatin 100mg/100ml solution for infusion vials (Wockhardt UK Ltd)
447811e10,Cisplatin 100mg/100ml solution for infusion vials (Wockhardt UK Ltd)
447831e10,Cisplatin 100mg/100ml concentrate for solution for infusion vials (Pfizer Ltd)
447851e10,Cisplatin 100mg/100ml concentrate for solution for infusion vials (Pfizer Ltd)
447871e10,Cisplatin 100mg/100ml solution for infusion vials (Alliance Healthcare (Distribution) Ltd)
447881e10,Cisplatin 100mg/100ml solution for infusion vials (Alliance Healthcare (Distribution) Ltd)
105293e11,Cisplatin 100mg/100ml solution for infusion vials (Teva UK Ltd)
105294e11,Cisplatin 100mg/100ml solution for infusion vials (Teva UK Ltd)
202092e11,Cisplatin 100mg/100ml concentrate for solution for infusion vials (Accord Healthcare Ltd)
202093e11,Cisplatin 100mg/100ml concentrate for solution for infusion vials (Accord Healthcare Ltd)
310922e11,Cisplatin 100mg/100ml concentrate for solution for infusion vials (Sandoz Ltd)
310923e11,Cisplatin 100mg/100ml concentrate for solution for infusion vials (Sandoz Ltd)
360741e11,"Epoetin beta 100,000unit powder and solvent for solution for injection vials"
449611e10,"Epoetin beta 100,000unit powder and solvent for solution for injection vials"
449621e10,"NeoRecormon 100,000unit powder and solvent for solution for injection vials (Roche Products Ltd)"
449631e10,"NeoRecormon 100,000unit powder and solvent for solution for injection vials (Roche Products Ltd)"
360634e11,"Epoetin beta 50,000unit powder and solvent for solution for injection vials"
449651e10,"Epoetin beta 50,000unit powder and solvent for solution for injection vials"
449681e10,"NeoRecormon 50,000unit powder and solvent for solution for injection vials (Roche Products Ltd)"
449691e10,"NeoRecormon 50,000unit powder and solvent for solution for injection vials (Roche Products Ltd)"
327004003,Razoxane 125mg tablets
451111e10,Razoxane 125mg tablets
451121e10,Razoxane 125mg tablets (A A H Pharmaceuticals Ltd)
451131e10,Razoxane 125mg tablets (A A H Pharmaceuticals Ltd)
451141e10,Razoxane 125mg tablets (Cambridge Laboratories Ltd)
451151e10,Razoxane 125mg tablets (Cambridge Laboratories Ltd)
451161e10,Razoxane 125mg tablets (Alliance Healthcare (Distribution) Ltd)
451171e10,Razoxane 125mg tablets (Alliance Healthcare (Distribution) Ltd)
451571e10,Interferon alfa-2b 10million unit powder and solvent for solution for injection vials
451181e10,Interferon alfa-2b 10million unit powder and solvent for solution for injection vials
451191e10,IntronA 10million unit powder and solvent for solution for injection vials (Organon Pharma (UK) Ltd)
451201e10,IntronA 10million unit powder and solvent for solution for injection vials (Organon Pharma (UK) Ltd)
451561e10,Interferon beta-1b 300microgram powder and solvent for solution for injection vials
451211e10,Interferon beta-1b 300microgram powder and solvent for solution for injection vials
451221e10,Betaferon 300microgram powder and solvent for solution for injection vials (Bayer Plc)
451231e10,Betaferon 300microgram powder and solvent for solution for injection vials (Bayer Plc)
153809e11,Extavia 300microgram powder and solvent for solution for injection vials (Novartis Pharmaceuticals UK Ltd)
154037e11,Extavia 300microgram powder and solvent for solution for injection vials (Novartis Pharmaceuticals UK Ltd)
456211e10,Interferon alfa-2b 60million units/1.2ml solution for injection pre-filled disposable devices
452021e10,Interferon alfa-2b 60million units/1.2ml solution for injection pre-filled disposable devices
452031e10,IntronA 60million units/1.2ml solution for injection multidose pens (Organon Pharma (UK) Ltd)
452041e10,IntronA 60million units/1.2ml solution for injection multidose pens (Organon Pharma (UK) Ltd)
408155001,Sirolimus 2mg tablets
456451e10,Sirolimus 2mg tablets
456461e10,Sirolimus 2mg tablets
456471e10,Rapamune 2mg tablets (Pfizer Ltd)
456481e10,Rapamune 2mg tablets (Pfizer Ltd)
456491e10,Rapamune 2mg tablets (Pfizer Ltd)
36049e12,Interferon alfa-2b 1million unit powder and solvent for solution for injection vials
458051e10,Interferon alfa-2b 1million unit powder and solvent for solution for injection vials
458061e10,IntronA 1million unit powder and solvent for solution for injection vials (Schering-Plough Ltd)
458071e10,IntronA 1million unit powder and solvent for solution for injection vials (Schering-Plough Ltd)
326989004,Dacarbazine 200mg powder for solution for injection vials
459511e10,Dacarbazine 200mg powder for solution for injection vials
102816e11,Dacarbazine 200mg powder for solution for injection vials
10478e12,Dacarbazine 200mg powder for solution for injection vials
459521e10,DTIC-Dome 200mg powder for solution for injection vials (Bayer Plc)
459551e10,DTIC-Dome 200mg powder for solution for injection vials (Bayer Plc)
102817e11,DTIC-Dome 200mg powder for solution for injection vials (Bayer Plc)
459571e10,Dacarbazine 200mg powder for solution for injection vials (Hospira UK Ltd)
459581e10,Dacarbazine 200mg powder for solution for injection vials (Hospira UK Ltd)
102779e11,Dacarbazine 200mg powder for solution for injection vials (medac UK)
104786e11,Dacarbazine 200mg powder for solution for injection vials (medac UK)
114035e11,Dacarbazine 200mg powder for solution for injection vials (PLIVA Pharma Ltd)
114038e11,Dacarbazine 200mg powder for solution for injection vials (PLIVA Pharma Ltd)
463081e10,Docetaxel 20mg/0.5ml solution for infusion vials and diluent
462591e10,Docetaxel 20mg/0.5ml solution for infusion vials and diluent
462601e10,Taxotere 20mg/0.5ml solution for infusion vials and diluent (Sanofi)
462621e10,Taxotere 20mg/0.5ml solution for infusion vials and diluent (Sanofi)
463801e10,Paclitaxel 30mg/5ml solution for infusion vials
462901e10,Paclitaxel 30mg/5ml solution for infusion vials
462911e10,Taxol 30mg/5ml solution for infusion vials (Bristol-Myers Squibb Pharmaceuticals Ltd)
462921e10,Taxol 30mg/5ml solution for infusion vials (Bristol-Myers Squibb Pharmaceuticals Ltd)
755461e10,Paxene 30mg/5ml solution for infusion vials (Hospira UK Ltd)
755481e10,Paxene 30mg/5ml solution for infusion vials (Hospira UK Ltd)
916321e10,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (Pfizer Ltd)
916331e10,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (Pfizer Ltd)
105332e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (Teva UK Ltd)
105333e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (Teva UK Ltd)
106409e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (Wockhardt UK Ltd)
10641e12,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (Wockhardt UK Ltd)
134105e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (PLIVA Pharma Ltd)
134106e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (PLIVA Pharma Ltd)
151672e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (Actavis UK Ltd)
151673e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (Actavis UK Ltd)
176489e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (medac UK)
17649e12,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (medac UK)
195746e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (A A H Pharmaceuticals Ltd)
195747e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (A A H Pharmaceuticals Ltd)
202789e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (Accord Healthcare Ltd)
202791e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (Accord Healthcare Ltd)
365978e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (Fresenius Kabi Ltd)
365979e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (Fresenius Kabi Ltd)
369365e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (Seacross Pharmaceuticals Ltd)
369366e11,Paclitaxel 30mg/5ml concentrate for solution for infusion vials (Seacross Pharmaceuticals Ltd)
463091e10,Docetaxel 80mg/2ml solution for infusion vials and diluent
462971e10,Docetaxel 80mg/2ml solution for infusion vials and diluent
463001e10,Taxotere 80mg/2ml solution for infusion vials and diluent (Sanofi)
463021e10,Taxotere 80mg/2ml solution for infusion vials and diluent (Sanofi)
360236e11,Paclitaxel 100mg/16.7ml solution for infusion vials
462931e10,Paclitaxel 100mg/16.7ml solution for infusion vials
462941e10,Taxol 100mg/16.7ml solution for infusion vials (Bristol-Myers Squibb Pharmaceuticals Ltd)
462951e10,Taxol 100mg/16.7ml solution for infusion vials (Bristol-Myers Squibb Pharmaceuticals Ltd)
755391e10,Paxene 100mg/16.7ml solution for infusion vials (Hospira UK Ltd)
755411e10,Paxene 100mg/16.7ml solution for infusion vials (Hospira UK Ltd)
916341e10,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Pfizer Ltd)
916351e10,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Pfizer Ltd)
105334e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Teva UK Ltd)
105335e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Teva UK Ltd)
106411e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Wockhardt UK Ltd)
106413e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Wockhardt UK Ltd)
134107e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (PLIVA Pharma Ltd)
134108e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (PLIVA Pharma Ltd)
151674e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Actavis UK Ltd)
151675e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Actavis UK Ltd)
176491e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (medac UK)
176492e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (medac UK)
195748e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (A A H Pharmaceuticals Ltd)
195749e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (A A H Pharmaceuticals Ltd)
202785e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Accord Healthcare Ltd)
202786e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Accord Healthcare Ltd)
311382e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Fresenius Kabi Ltd)
311383e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Fresenius Kabi Ltd)
369363e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Seacross Pharmaceuticals Ltd)
369364e11,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Seacross Pharmaceuticals Ltd)
